"review_np","newversion_review"
"http://purl.org/np/RAbefCWp1CItDV1WP3gCQOIbDpLSJ6eKHJUBgmsUtAbhE","http://purl.org/np/RAFKjvrsg7opJbOj4X07AthG8yBrQqntiqrbruEvFa5As"
"http://purl.org/np/RAyepTH--NvwKSlgVQHY6XKK21NtNJKX7tl89q2s05Vr4",
"http://purl.org/np/RADPRZhOfgWlmq98SVMPekC0HlfZtphWID6hSulz-hOTM",
"http://purl.org/np/RAOhIZlqbqMRIgsROJMnSPY8YgmuHZuoBuMuhBnxIViUQ",
"http://purl.org/np/RAbG2CZoBsdl0uBFUKAhCTx-sxLIhi-ISbvi7B8Iw1J5I",
"http://purl.org/np/RAwnHtSSq-vTn3IKdb0YsiBTgcDKF3lzA1r7mgVUt9T20",
"http://purl.org/np/RAXop_iEgb_Up5yNnckKza_rVpbtjnf7cCLlaiiOCgVSE",
"http://purl.org/np/RAxVJX5C1Khk0a28SUKS_3hymWai9E7ztVYOgVeE9Bn24",
"http://purl.org/np/RA-uxUPtTz71KNQ4cwmoj7eGnv9HgVdVifbi_mIfZfcAY",
"http://purl.org/np/RAlz_CP0XvjPlua24V0rNs6_8MeM9JN6rUdSpCQchhCCU",
"http://purl.org/np/RAmPB9EE1nYHe_Bg3Ehso54AZ9SNE0d_08oL16oZ4wHuk",
"http://purl.org/np/RARdfiAA2GpayI4fDJs7rMB6NE-1tLvcGiekHP2e-fYmE",
"http://purl.org/np/RAJ8T3gHnyWOagapz0f0YbRlDqrVt9kjY1nHONQgzxn5o",
"http://purl.org/np/RAQ_hTQ5xvy45wRj9v7wln67sBgxFC0eV6l60xglU0xmI",
"http://purl.org/np/RAsEBaJjHLUED3rIPfNwwFz2G0C2AmmbWdqGCeGEKv1Ec",
"http://purl.org/np/RAQQkNipYM14QGoyfpzqmVxbgJC9OG4OwQREahNcMcMYM",
"http://purl.org/np/RAaBjwfH3LBV9xMKxq7gqbpRxT83UV1SfTT0jVGc5WOzE",
"http://purl.org/np/RAS0xcQdOnTh_bIn7JhwJUm6NikkjRIBq_ihdnzhc5sm4",
"http://purl.org/np/RAFJQ8Eq4DgYcm1_xyl8utYvqZC3_UMlPhihpORlMIR4Q",
"http://purl.org/np/RAEpaUK6FW1ftnu43ZSMCqxmaXw1YQET9fs8ULFyG-Ado",
"http://purl.org/np/RAhjGhG-5AWUyWIp1B_CCxuw_jR_sLBYxGLQD6ELZFh2Y",
"http://purl.org/np/RALAkTrka6ayoFYItkXH1Zzcovp7ky-JuMEFEDFInK4bI",
"http://purl.org/np/RAEazJoU_loPjkRX8Q8p1Moe5pVJ5jSbfvcUD5KOeLppY",
"http://purl.org/np/RA6TdnIX5ekZdeoyBkgygIA2cJbzeT-w4tHjQYWnw8q_w",
"http://purl.org/np/RAYkahuEzda0r6hSTAkAG1zRAZJC1IwlROY0aRHtieOeo",
"http://purl.org/np/RAJQzOGKuP_oSLqSRzyPAYaQO-HWp1fD9MGzNGR-HcgTs",
"http://purl.org/np/RA6LSiMXEHG5IZyC29dfh8tBptanSlWFx_H6KznPXEXu8",
"http://purl.org/np/RA8loVntlA3Gxd37VWCaimrbYrrnY7rvVmCTIyOW6cOhs",
"http://purl.org/np/RAW3MEmCUW0QJ0oXJsJjqn2kxv8tPsNfI7_yuo7rSdtCU",
"http://purl.org/np/RA8rAx7JShPL3nladCkzTx55J6YJVvpHTpqqwU_Hl3hnI",
"http://purl.org/np/RAO2sbZc46vpwL0JpuIF-_WDJyUtOhAAMLnFiL6-6zxco",
"http://purl.org/np/RA9hTCB4z3sp_gHdbrfXBjR0eczmlcs2WVVMdS8FOQ1gc",
"http://purl.org/np/RAid00RR7FNGZqaK-7903Z3l-xU2gpyMNFbap58rqvOqM",
"http://purl.org/np/RAfZJCwOjSX0NboXEekoEl2lO0trJh06DGsf0XsWwy2nU",
"http://purl.org/np/RALzg7HM2Da1ELrA-a7JSuE5Q_Zj-_51RhDcX71-YgQQs",
"http://purl.org/np/RAK0ra75wJV1G5R-H_SnsJIhkA5h1eSfPerBFLbMsykIw",
"http://purl.org/np/RA9wYHgRzNVnwFw_JiA5KOxN4T0vuyxT9_VrX-nlmcaIE",
"http://purl.org/np/RAr9U69tWxxt9GvI67WYDhRVn4Wb7rDDVkq44DKNVwa7g",
"http://purl.org/np/RAVFDJ6wFHKZDW3EDZREo9S5tltUwto24N8RiZ15w1_ug",
"http://purl.org/np/RAYsifm2gU8XlSo551nBUpdJ4gAvvFFkwcNz60pd54qz8",
"http://purl.org/np/RAtmzgWeJYQVg0R6I_gKJEF8hZC2EIjs6e06t0-ZP2PZU",
"http://purl.org/np/RAQVUPAB16ljoRh645Dh3uXO2O2SELsummvl_L3c8j35E",
"http://purl.org/np/RAFKjvrsg7opJbOj4X07AthG8yBrQqntiqrbruEvFa5As",
"http://purl.org/np/RANtyaCb-FRHjXEATBUbQLZ8qjMd_Z3MGLxtwRl1WIQo4",
"http://purl.org/np/RAyq7Qv8FEXDsvSxe6vcsD3ZOfk3Xqile43Wffq1RJwU8",
"http://purl.org/np/RAim7_fOnEJPkHkYk9luWLaRXEZq8AlY4v3htRUfrCOB0",
