"class_np","newversion_class"
"http://purl.org/np/RAGTKSKKq0H_T26MdFFvyusBFHQh4oNHILIbJDYNv3ydQ",
"http://purl.org/np/RAuT5sXHiCNYxjZezqh4vWARLMh3cxzk-nlJd6IWg-JZI",
"http://purl.org/np/RAh0LO8RIKiot7ORDillQMfr3TwhEf70reNViTJrsq2KA",
"http://purl.org/np/RAc15Rw9WtyZ7u7DxJvBrNkNFKFadStL-fy8v05wnLdWM",
"http://purl.org/np/RAPVWYH0x-xyDa9PfBcGUFly3m1FNEO43KG9s0uH-y6yo","http://purl.org/np/RA_uqYtoBEELzYKz7H3Yqp9L_sHdU-kgL8R5EqmBsTVzE"
"http://purl.org/np/RAFQovt9yQD7nZ2tdZ9_Uhpb7CsfT3k64pK7dh63xd-50","http://purl.org/np/RApfJ-Acff7eJt-O1PljX4y_s-lBWsW1ShLWjU7xoGx2w"
"http://purl.org/np/RAodU4AmRjfzyjwtJK3luO0iyRJJPUBjkijKWdlMHvack","http://purl.org/np/RAeag07Rc4GggQAySapTH1PRQR6WYkhs0FhrhAT7bkFyc"
"http://purl.org/np/RA9UaQM3wVa9xRAmL9CWEXyhDbcgvHlPoGTw4pnKaHYL8","http://purl.org/np/RAFH8AVn-wnTcSGxvPZ1Uiy_AtOhINlynnAxxiCdcTVWU"
"http://purl.org/np/RACS5sSm45MGbuJrztnPrpdu1AuLiKxDni-6JcKzN5ZtM","http://purl.org/np/RA-jkb7qPNTSOe_EXltW_rlQWQ9x3_Y1KOzW6J_bbPz4U"
"http://purl.org/np/RA9UaQM3wVa9xRAmL9CWEXyhDbcgvHlPoGTw4pnKaHYL8","http://purl.org/np/RAI0VHKntboqAV49ItlQeUnIDmPkqMML9HZoGMb87NMdw"
"http://purl.org/np/RACS5sSm45MGbuJrztnPrpdu1AuLiKxDni-6JcKzN5ZtM","http://purl.org/np/RAk28zkEDKQaNjYZqSC1hkUE_2OtRAl7N2vJXf4lNX7yU"
"http://purl.org/np/RAXecDWH8gZVp7FZRP1m_Fg6EXH_uoZGhKN9blfN9lrfI","http://purl.org/np/RAaOAF90U6YxAvnchfj0dRtT5HRz320Pz202aGap-VfuI"
"http://purl.org/np/RANAxL2OxGmP9VAN6cUi_0KEK0rJb9bPn4l1A5HquXKrI","http://purl.org/np/RAxLYvJ1JrRf2JAowYGbGJleQPmqtpXnXsIvse7GmLeT8"
"http://purl.org/np/RAlKYv_sE8qwiSqsRdcr7KrkU1bsqlqiFmhDPtPBwpLrM",
"http://purl.org/np/RAY2Gg01ffDVLprAakuMqpizAjksasRtTal_UsCf94LL8",
"http://purl.org/np/RAtsHwzNs36rGrLnoSbGrPD351Qw033Acoe4zmdXhsYlM",
"http://purl.org/np/RAjD4-Q2kO_cIUE52rde2uWbV3RtuCR90geXW90il2YX4",
"http://purl.org/np/RAuLZtfsHn3NGe0Md8lLNvYmBseEtW9v1rVUVfJCpJYUE",
"http://purl.org/np/RAe1_LbgR-F_6h9RufzR4upiYDQSiZz4CjPPkQcWmjHeo","http://purl.org/np/RAyt9KYbuT_g-2FBM3QQwYECRvzDLS678XZshadrs6xgY"
"http://purl.org/np/RAftU4grJrKrRdqTA_Q9CqBJ0iA8j_g7ZaXkfJOLmS5pI","http://purl.org/np/RAidVKTsiH-rIm55oFVdqzwSqiig905iwVokvsrVji2dk"
"http://purl.org/np/RAdMQ7AZVDQoUg21ZlYbF-_2ny5Gob_NAzSeHkjNo6B8M","http://purl.org/np/RAhGlZPgQpdE5_mCGdUROrRAE-gYkDej5MzG0ZdxauWCc"
"http://purl.org/np/RAVYczMihUbgryLu1x8xhoqR6LQe4fSoWmF3SCQHfR5xE",
"http://purl.org/np/RA6snbuih8c4A_1jDlDPtYXKBcO5KE5jdoQUtu3V2xPY4",
"http://purl.org/np/RAEpHUXRKtaLE3Z24sgIUdaxwTBsK2bjshyq9yF00145Y",
"http://purl.org/np/RAIwMZ0StXU9DCY1WGoJMwD2NAc30mijCb0FML8TXIB0Y","http://purl.org/np/RAhnnsMWVM8M29NixCJfVDLWzRzwwCPnUD7LI2kxT-FME"
"http://purl.org/np/RAUxfk7XeLxn-2hiX3xWSlE5LXgkNW0MIFBGe2h3Bb3pM","http://purl.org/np/RAcPa1aO8kAt8QYwjQoJq-PIzYvo0jCzYrAiOX_XOyk1w"
"http://purl.org/np/RAY3LaUoVtBLj9CN36wyyvTIjSMsACErVtEApnA12zjy0","http://purl.org/np/RANjcIDg1VkGWDSqxkFyVn__2UEbR-V7y8lqtV4rxcLJk"
"http://purl.org/np/RAvOAyEg-J8ynmZNrkCgg5XqGuqRo-dXcGFvgDLxtY6ck",
